"id","name","country","founded","industry","no_of_employees","website","description","e_mail"
300,"Larson Ltd","Gabon",2014,"Wireless",5197,"0",NULL,"no email"
301,"Perez Group","Comoros",2007,"Wine / Spirits",8889,"0",NULL,"no email"
302,"Charles Inc","New Zealand",2011,"Utilities",7014,"0",NULL,"no email"
303,"Green-Frye","Uzbekistan",2011,"Computer Networking",7776,"0",NULL,"no email"
304,"Banks PLC","Greece",2003,"Machinery",7919,"0",NULL,"no email"
305,"Hood, Evans and Waters","Austria",2006,"Medical Equipment",6998,"0",NULL,"no email"
306,"Roberson-Bailey","Maldives",2006,"Political Organization",4131,"0",NULL,"no email"
307,"Hurley-Marquez","Sudan",2017,"Telecommunications",3313,"0",NULL,"no email"
308,"Macdonald PLC","Ethiopia",1975,"Events Services",6603,"0",NULL,"no email"
309,"Salas and Sons","Iran",1991,"Food Production",2668,"0",NULL,"no email"
310,"Howe, Byrd and Owens","Australia",2010,"Financial Services",7597,"0",NULL,"no email"
311,"Acosta-Lam","Finland",1991,"Oil / Energy / Solar / Greentech",4437,"0",NULL,"no email"
312,"Crane PLC","Gibraltar",2015,"Information Services",6357,"0",NULL,"no email"
313,"English, Oneal and Savage","Nicaragua",1989,"Dairy",3209,"0",NULL,"no email"
314,"Carey, Moss and Bolton","Timor-Leste",2020,"Graphic Design / Web Design",2613,"0",NULL,"no email"
315,"Caldwell Ltd","Tonga",1978,"Entertainment / Movie Production",5260,"0",NULL,"no email"
316,"Maddox Ltd","Malawi",2011,"Individual / Family Services",5972,"0",NULL,"no email"
317,"Byrd Inc","Jordan",2016,"Computer Games",3182,"0",NULL,"no email"
318,"Williams-Pennington","Greenland",1972,"Packaging / Containers",4484,"0",NULL,"no email"
319,"Schaefer, Graham and Valdez","United Arab Emirates",2010,"Chemicals",1681,"0",NULL,"no email"
320,"Oconnell-Ponce","Uzbekistan",1999,"Alternative Dispute Resolution",6702,"0",NULL,"no email"
321,"Schroeder LLC","Kenya",1979,"Transportation",1185,"0",NULL,"no email"
322,"Horn-Pace","Vanuatu",1998,"Outsourcing / Offshoring",6162,"0",NULL,"no email"
323,"Donovan-Carson","Pakistan",2013,"Human Resources / HR",7498,"0",NULL,"no email"
324,"Pittman-Buchanan","United States of America",1988,"Farming",3610,"0",NULL,"no email"
325,"Bridges, Velez and Rivera","New Zealand",1993,"Media Production",8480,"0",NULL,"no email"
326,"Michael-Lee","Andorra",2004,"Law Practice / Law Firms",8506,"0",NULL,"no email"
327,"Alvarado-Anthony","Cape Verde",1978,"Outsourcing / Offshoring",28,"0",NULL,"no email"
328,"Dunlap, Mccullough and Pittman","Israel",2014,"Dairy",8217,"0",NULL,"no email"
329,"Petty Ltd","Sao Tome and Principe",2013,"Business Supplies / Equipment",7455,"0",NULL,"no email"
330,"Flowers, Levy and Wallace","United States Minor Outlying Islands",1976,"Chemicals",1831,"0",NULL,"no email"
331,"Brooks Inc","Spain",1976,"Medical Equipment",4320,"0",NULL,"no email"
332,"Hanna PLC","French Southern Territories",1987,"Sports",7806,"0",NULL,"no email"
333,"Thompson Ltd","Andorra",1980,"Chemicals",6676,"0",NULL,"no email"
334,"Hendricks PLC","Grenada",1981,"Defense / Space",4680,"0",NULL,"no email"
335,"Houston-Ayala","Anguilla",2020,"Legislative Office",4704,"0",NULL,"no email"
336,"Palmer-Stokes","Denmark",2016,"Civic / Social Organization",3242,"0",NULL,"no email"
337,"Avila-Nelson","Lesotho",2012,"Cosmetics",2235,"0",NULL,"no email"
338,"Bird and Sons","Nepal",1977,"Biotechnology / Greentech",7050,"0",NULL,"no email"
339,"York, Harding and Huerta","Vietnam",2021,"Public Relations / PR",6532,"0",NULL,"no email"
340,"Graham Ltd","Greece",1979,"Logistics / Procurement",5786,"0",NULL,"no email"
341,"Dunlap, Moss and Dixon","Estonia",1976,"Information Services",2874,"0",NULL,"no email"
342,"Norman-Hoffman","Yemen",2016,"Banking / Mortgage",2080,"0",NULL,"no email"
343,"Allison PLC","France",1993,"Maritime",1545,"0",NULL,"no email"
344,"Parrish Group","British Indian Ocean Territory (Chagos Archipelago)",2019,"Hospital / Health Care",1,"0",NULL,"no email"
345,"Gardner Ltd","Bahrain",1970,"Religious Institutions",3702,"0",NULL,"no email"
346,"Everett-Frederick","Palau",2002,"Executive Office",5890,"0",NULL,"no email"
347,"Kaiser-Newman","Wallis and Futuna",1990,"Wireless",8323,"0",NULL,"no email"
348,"Morris, Villegas and English","Kenya",2021,"Sporting Goods",9089,"0",NULL,"no email"
349,"Nichols, Dawson and Holloway","Uruguay",2009,"Venture Capital / VC",2198,"0",NULL,"no email"
350,"Sharp and Sons","China",2010,"Investment Management / Hedge Fund / Private Equity",2828,"0",NULL,"no email"
351,"Mann PLC","Palau",1995,"Food Production",5799,"0",NULL,"no email"
352,"House-Mueller","Mayotte",2015,"Printing",1859,"0",NULL,"no email"
353,"Bright, Randolph and Romero","Namibia",1987,"Sporting Goods",1904,"0",NULL,"no email"
354,"Howe Group","Lesotho",1987,"Newspapers / Journalism",2895,"0",NULL,"no email"
355,"Mills-Clements","Kenya",1988,"Public Relations / PR",8674,"0",NULL,"no email"
356,"Edwards Ltd","Ghana",1997,"Military Industry",5943,"0",NULL,"no email"
357,"Dougherty-Tate","Honduras",1991,"Food Production",8318,"0",NULL,"no email"
358,"Hill-Ramirez","Niue",2013,"Veterinary",4736,"0",NULL,"no email"
359,"Frost, Zimmerman and Vargas","Macedonia",1978,"Events Services",4953,"0",NULL,"no email"
360,"Conway, Case and Rowland","Vanuatu",1983,"Investment Banking / Venture",3026,"0",NULL,"no email"
361,"Combs-Romero","Suriname",2019,"Computer / Network Security",7903,"0",NULL,"no email"
362,"Mccall-Flowers","France",2013,"Sports",4243,"0",NULL,"no email"
363,"Hart, Kent and Hurley","Timor-Leste",2010,"Media Production",2836,"0",NULL,"no email"
364,"Curry Group","Monaco",1978,"Paper / Forest Products",2190,"0",NULL,"no email"
365,"Hinton, Lucero and Hancock","Cameroon",2003,"Medical Equipment",5594,"0",NULL,"no email"
366,"Daniels Ltd","Togo",2000,"Mining / Metals",7702,"0",NULL,"no email"
367,"Cline Inc","Argentina",2009,"Translation / Localization",8887,"0",NULL,"no email"
368,"Guerrero Group","Azerbaijan",2014,"Civil Engineering",3313,"0",NULL,"no email"
369,"Humphrey, Holloway and Lutz","Gabon",1982,"Museums / Institutions",1419,"0",NULL,"no email"
370,"Best, Mckay and Guerrero","Chad",2020,"Building Materials",871,"0",NULL,"no email"
371,"Ayers, Andrews and Branch","Ukraine",2009,"Online Publishing",934,"0",NULL,"no email"
372,"Holland Group","Estonia",1979,"Paper / Forest Products",7664,"0",NULL,"no email"
373,"Saunders-Fitzgerald","Zimbabwe",1979,"Think Tanks",6956,"0",NULL,"no email"
374,"Walls-Guerra","Ukraine",1999,"Textiles",5701,"0",NULL,"no email"
375,"Kline-Sampson","Guam",1973,"Arts / Crafts",2185,"0",NULL,"no email"
376,"Moyer, Miranda and Fleming","Sierra Leone",2019,"Staffing / Recruiting",3482,"0",NULL,"no email"
377,"Mcmahon PLC","Haiti",2012,"Automotive",8491,"0",NULL,"no email"
378,"Mendoza PLC","Kiribati",1986,"Telecommunications",4233,"0",NULL,"no email"
379,"Byrd, Baker and Walsh","Nigeria",2005,"Facilities Services",1786,"0",NULL,"no email"
380,"Wagner-Lawrence","Denmark",1976,"Law Practice / Law Firms",5799,"0",NULL,"no email"
381,"Tate PLC","Georgia",2020,"Machinery",9286,"0",NULL,"no email"
382,"Moyer-Benson","Zambia",1985,"Wireless",6993,"0",NULL,"no email"
383,"Rush, Wilson and Vaughan","Moldova",1974,"Food / Beverages",168,"0",NULL,"no email"
384,"Mayer, Rios and Dunn","Tonga",1981,"Wireless",2170,"0",NULL,"no email"
385,"Ramos Group","Suriname",1997,"Wireless",8627,"0",NULL,"no email"
386,"Dickerson-Taylor","Cape Verde",1981,"Venture Capital / VC",4679,"0",NULL,"no email"
387,"Roth, Rojas and Mora","Mauritania",2007,"Law Practice / Law Firms",7262,"0",NULL,"no email"
388,"Vaughn-Tran","Serbia",1976,"Online Publishing",1018,"0",NULL,"no email"
389,"Williams Group","Micronesia",1975,"Consumer Goods",3327,"0",NULL,"no email"
390,"Parsons, Bishop and Joseph","Colombia",2014,"Shipbuilding",6864,"0",NULL,"no email"
391,"Thornton-Houston","Honduras",1983,"Publishing Industry",6436,"0",NULL,"no email"
392,"Waller-Baker","Saint Helena",2017,"Printing",2468,"0",NULL,"no email"
393,"Kerr PLC","Germany",1993,"Animation",7096,"0",NULL,"no email"
394,"David, Whitaker and Sweeney","Lao People's Democratic Republic",1972,"Law Enforcement",3123,"0",NULL,"no email"
395,"Levine, Buchanan and Lara","Romania",1971,"Shipbuilding",38,"0",NULL,"no email"
396,"Rocha, Henson and Gutierrez","Germany",1986,"Library",3842,"0",NULL,"no email"
397,"Crosby, Villa and Rich","United States Minor Outlying Islands",2004,"Renewables / Environment",3686,"0",NULL,"no email"
398,"Skinner PLC","Anguilla",2006,"Legal Services",485,"0",NULL,"no email"
399,"Bowen-Shaw","Cook Islands",1987,"Medical Equipment",1243,"0",NULL,"no email"
400,"Graves, Hogan and Bryan","Puerto Rico",1982,"Dairy",2856,"0",NULL,"no email"
401,"George-Ramirez","Mexico",2018,"International Trade / Development",522,"0",NULL,"no email"
402,"Schroeder-Powell","Uruguay",1998,"Facilities Services",8061,"0",NULL,"no email"
403,"Trevino, Lawson and Avila","Philippines",1992,"Package / Freight Delivery",4201,"0",NULL,"no email"
404,"Duarte-Boone","Sierra Leone",2010,"Gambling / Casinos",1363,"0",NULL,"no email"
405,"Jacobson Inc","Peru",2016,"Broadcast Media",451,"0",NULL,"no email"
406,"Sparks-Savage","Macao",1995,"Electrical / Electronic Manufacturing",9288,"0",NULL,"no email"
407,"Herring-Kline","Solomon Islands",2006,"Consumer Services",2983,"0",NULL,"no email"
408,"Garner-Hoover","Indonesia",1981,"Information Services",6405,"0",NULL,"no email"
409,"Schaefer Ltd","British Indian Ocean Territory (Chagos Archipelago)",1983,"Leisure / Travel",5199,"0",NULL,"no email"
410,"Peters, Booker and Ramirez","Korea",1976,"Newspapers / Journalism",4559,"0",NULL,"no email"
411,"Cantrell-Glover","Aruba",1970,"Facilities Services",313,"0",NULL,"no email"
412,"Trujillo-Copeland","Taiwan",2009,"Shipbuilding",2258,"0",NULL,"no email"
413,"Acosta LLC","Egypt",1987,"Maritime",2378,"0",NULL,"no email"
414,"Romero Ltd","Montserrat",2021,"Glass / Ceramics / Concrete",4366,"0",NULL,"no email"
415,"Esparza Inc","Isle of Man",1973,"Government Relations",9246,"0",NULL,"no email"
416,"Richard-Conway","Lao People's Democratic Republic",1988,"Fundraising",9510,"0",NULL,"no email"
417,"Santiago, Colon and Castaneda","Iraq",1972,"Other Industry",4864,"0",NULL,"no email"
418,"Holloway, Kaufman and Cross","United States Minor Outlying Islands",1976,"Arts / Crafts",9728,"0",NULL,"no email"
419,"Ward-Hull","Nigeria",1992,"Legislative Office",1820,"0",NULL,"no email"
420,"Gamble, Golden and Bauer","Yemen",2004,"Veterinary",123,"0",NULL,"no email"
421,"Small-Peters","Russian Federation",1970,"Computer Hardware",9212,"0",NULL,"no email"
422,"Zamora-Bryan","Seychelles",1997,"Food / Beverages",5592,"0",NULL,"no email"
423,"Fisher-Golden","Myanmar",2003,"Medical Practice",3274,"0",NULL,"no email"
424,"Ellis, Gutierrez and Bush","Papua New Guinea",2013,"Real Estate / Mortgage",4414,"0",NULL,"no email"
425,"Bray, Boyle and Morrison","Tunisia",1978,"Investment Banking / Venture",6353,"0",NULL,"no email"
426,"Osborn-Howard","Liberia",1999,"Newspapers / Journalism",1133,"0",NULL,"no email"
427,"Rollins, Hoffman and Bender","Niger",1992,"Library",5599,"0",NULL,"no email"
428,"Gallagher-Patel","Central African Republic",1984,"Computer / Network Security",9633,"0",NULL,"no email"
429,"Jarvis, Patrick and Farmer","Sri Lanka",1987,"Warehousing",7563,"0",NULL,"no email"
430,"Smith-Terrell","Cameroon",2003,"Mental Health Care",404,"0",NULL,"no email"
431,"Esparza, Lyons and Diaz","Botswana",1976,"Library",9231,"0",NULL,"no email"
432,"Nichols-Maynard","Martinique",1977,"Photography",779,"0",NULL,"no email"
433,"Mcintyre, Williams and Gray","Germany",2012,"Industrial Automation",6366,"0",NULL,"no email"
434,"Sexton Ltd","Tajikistan",1984,"Environmental Services",3590,"0",NULL,"no email"
435,"Wilson-Garrett","Denmark",1975,"Photography",3238,"0",NULL,"no email"
436,"Finley-Sloan","Bangladesh",2013,"Graphic Design / Web Design",5042,"0",NULL,"no email"
437,"Moon, Hendrix and Morton","Sao Tome and Principe",2009,"Fishery",2131,"0",NULL,"no email"
438,"Finley Ltd","Portugal",2000,"Recreational Facilities / Services",728,"0",NULL,"no email"
439,"Rojas-Castro","Saint Martin",1981,"Construction",8201,"0",NULL,"no email"
440,"Wang-Holloway","Germany",1992,"Computer Games",4447,"0",NULL,"no email"
441,"Collier-Howe","American Samoa",1972,"Education Management",1416,"0",NULL,"no email"
442,"Wilkins-Bright","Philippines",1979,"Restaurants",751,"0",NULL,"no email"
443,"Larson and Sons","Jersey",1970,"Real Estate / Mortgage",3786,"0",NULL,"no email"
444,"Davidson, Church and Sutton","Yemen",1984,"Maritime",9719,"0",NULL,"no email"
445,"Olsen, Oneal and Benton","Maldives",1983,"International Affairs",6078,"0",NULL,"no email"
446,"Lin-Weiss","Luxembourg",1976,"Cosmetics",2363,"0",NULL,"no email"
447,"Clements, Hahn and Stark","Cambodia",1975,"Hospitality",7663,"0",NULL,"no email"
448,"Huang-Ochoa","Guadeloupe",2008,"Apparel / Fashion",6839,"0",NULL,"no email"
449,"Garza-Obrien","Nepal",2014,"Machinery",1137,"0",NULL,"no email"
450,"Lin, Rasmussen and Graves","Bahrain",1997,"Business Supplies / Equipment",6903,"0",NULL,"no email"
451,"Huerta PLC","Gambia",1970,"Dairy",4337,"0",NULL,"no email"
452,"Lawson Ltd","Mauritius",1985,"Machinery",4988,"0",NULL,"no email"
453,"Bond, Snyder and Dixon","Saint Pierre and Miquelon",2018,"Individual / Family Services",9271,"0",NULL,"no email"
454,"Galvan, Clarke and Murray","Eritrea",2005,"Performing Arts",8788,"0",NULL,"no email"
455,"Jordan, Duffy and Guzman","Italy",1974,"Hospital / Health Care",5201,"0",NULL,"no email"
456,"Morrison-Ramos","Korea",1988,"Consumer Services",1587,"0",NULL,"no email"
457,"Good-Macias","Nigeria",2014,"Dairy",3744,"0",NULL,"no email"
458,"Wade, Walls and Maynard","Uruguay",1997,"Alternative Medicine",317,"0",NULL,"no email"
459,"Sexton-Meza","Tonga",2021,"Automotive",4820,"0",NULL,"no email"
460,"Singh-Bartlett","Slovenia",1988,"Wireless",866,"0",NULL,"no email"
461,"Roth and Sons","Angola",1994,"Computer Hardware",311,"0",NULL,"no email"
462,"Velazquez, Brewer and Mahoney","Haiti",2004,"Performing Arts",3884,"0",NULL,"no email"
463,"Tucker, Hartman and Mathews","Oman",1982,"Restaurants",9088,"0",NULL,"no email"
464,"Patrick LLC","United States of America",1997,"Facilities Services",7948,"0",NULL,"no email"
465,"Hubbard-Clements","Slovenia",2015,"Warehousing",1787,"0",NULL,"no email"
466,"Bradford, Joyce and Pennington","Niger",2010,"Law Practice / Law Firms",4823,"0",NULL,"no email"
467,"Marquez-Blankenship","American Samoa",1989,"Warehousing",8562,"0",NULL,"no email"
468,"Aguirre, Hicks and Garrison","Nepal",1990,"Library",4851,"0",NULL,"no email"
469,"Daniel, Mcintosh and Dickson","Netherlands",2002,"Library",1201,"0",NULL,"no email"
470,"Frost, Hebert and Rojas","Sao Tome and Principe",2008,"Plastics",2521,"0",NULL,"no email"
471,"Bradford and Sons","Suriname",2010,"Veterinary",622,"0",NULL,"no email"
472,"Boyd LLC","American Samoa",1975,"Luxury Goods / Jewelry",159,"0",NULL,"no email"
473,"Cooke-Mcgee","Germany",2014,"Music",3064,"0",NULL,"no email"
474,"Mcconnell-Schroeder","Ecuador",2009,"Primary / Secondary Education",4884,"0",NULL,"no email"
475,"Sampson-Copeland","Bouvet Island (Bouvetoya)",2015,"Marketing / Advertising / Sales",3811,"0",NULL,"no email"
476,"Livingston Ltd","Korea",1994,"Hospitality",5395,"0",NULL,"no email"
477,"Barnett, Ho and Shah","Belgium",1983,"Information Services",5971,"0",NULL,"no email"
478,"Wise-Valenzuela","Guadeloupe",1991,"Chemicals",3269,"0",NULL,"no email"
479,"Shields LLC","Saudi Arabia",2005,"Sports",1547,"0",NULL,"no email"
480,"Pennington, Hooper and Perkins","Saint Barthelemy",1984,"Dairy",8560,"0",NULL,"no email"
481,"Estrada-Leon","Cocos (Keeling) Islands",1984,"Events Services",4218,"0",NULL,"no email"
482,"Beard PLC","France",1974,"Facilities Services",2987,"0",NULL,"no email"
483,"Bates PLC","New Zealand",1984,"Religious Institutions",674,"0",NULL,"no email"
484,"Macdonald-Villegas","Nicaragua",2010,"Animation",8501,"0",NULL,"no email"
485,"Mata, Benjamin and Sanchez","Western Sahara",1986,"Business Supplies / Equipment",2814,"0",NULL,"no email"
486,"Rice, Norton and Stein","Cook Islands",2007,"Transportation",6307,"0",NULL,"no email"
487,"Mahoney-Lowe","Wallis and Futuna",2006,"Logistics / Procurement",5763,"0",NULL,"no email"
488,"Simmons Group","Sweden",1985,"Entertainment / Movie Production",3416,"0",NULL,"no email"
489,"Holt, Morris and Delgado","Argentina",1999,"Translation / Localization",7672,"0",NULL,"no email"
490,"Yates, Best and Zuniga","Trinidad and Tobago",2001,"Food Production",1009,"0",NULL,"no email"
491,"Byrd LLC","Palau",1981,"Mental Health Care",6537,"0",NULL,"no email"
492,"Barber LLC","Antarctica (the territory South of 60 deg S)",1998,"Insurance",1021,"0",NULL,"no email"
493,"Potter-Solis","Kenya",1993,"Entertainment / Movie Production",4209,"0",NULL,"no email"
494,"Ramos-Kemp","Montserrat",1979,"Ranching",699,"0",NULL,"no email"
495,"Cisneros-Parks","Pakistan",1992,"Printing",7884,"0",NULL,"no email"
496,"Jenkins Inc","Zimbabwe",2019,"Renewables / Environment",1864,"0",NULL,"no email"
497,"Cummings, Woodard and Wiley","Western Sahara",2006,"Wine / Spirits",7436,"0",NULL,"no email"
498,"Holloway-Ali","Russian Federation",2001,"Library",648,"0",NULL,"no email"
499,"Mclaughlin LLC","Estonia",1975,"Ranching",5650,"0",NULL,"no email"
500,"Macias-Chung","Palau",1985,"Motion Pictures / Film",8958,"0",NULL,"no email"
501,"Ramos Ltd","Gambia",2018,"Computer / Network Security",9088,"0",NULL,"no email"
502,"Weaver-Barnett","Belarus",1991,"Business Supplies / Equipment",8600,"0",NULL,"no email"
503,"Macdonald PLC","Rwanda",1971,"Gambling / Casinos",9950,"0",NULL,"no email"
504,"Coffey-Hooper","Eritrea",2007,"Pharmaceuticals",2660,"0",NULL,"no email"
505,"Ayers-Hernandez","India",1992,"Higher Education / Acadamia",5982,"0",NULL,"no email"
506,"Cline-Heath","Chad",2020,"Computer Networking",6977,"0",NULL,"no email"
507,"Rivera, Russo and Romero","Nicaragua",1993,"Package / Freight Delivery",8848,"0",NULL,"no email"
508,"Hardy, Ellis and Hopkins","Moldova",2009,"Library",4990,"0",NULL,"no email"
509,"Gray and Sons","China",1980,"Packaging / Containers",8303,"0",NULL,"no email"
510,"Hogan-Rodgers","Marshall Islands",1970,"Glass / Ceramics / Concrete",5029,"0",NULL,"no email"
511,"Baxter-Morgan","Saudi Arabia",2005,"Paper / Forest Products",545,"0",NULL,"no email"
512,"Frederick-Singh","Chile",1971,"Fine Art",5687,"0",NULL,"no email"
513,"Harvey, Pennington and Richard","Hungary",2016,"Computer Hardware",3894,"0",NULL,"no email"
514,"Arroyo, Garcia and Patterson","Denmark",2020,"Wireless",9235,"0",NULL,"no email"
515,"Lynch Ltd","Northern Mariana Islands",1983,"Outsourcing / Offshoring",2369,"0",NULL,"no email"
516,"Rios-Walsh","Thailand",1973,"Renewables / Environment",3747,"0",NULL,"no email"
517,"Sanford Inc","Sao Tome and Principe",1997,"Professional Training",5994,"0",NULL,"no email"
518,"Vasquez-Ochoa","Cuba",1983,"Packaging / Containers",4878,"0",NULL,"no email"
519,"Bean, Hudson and Velasquez","Saint Barthelemy",2001,"Writing / Editing",7395,"0",NULL,"no email"
520,"Drake PLC","Mali",2009,"Warehousing",4793,"0",NULL,"no email"
521,"Weeks-Joseph","United Kingdom",1970,"Mining / Metals",4528,"0",NULL,"no email"
522,"Villegas-Liu","Malaysia",1991,"Mental Health Care",9517,"0",NULL,"no email"
523,"Daniels, Whitney and Valenzuela","Russian Federation",1988,"Human Resources / HR",6869,"0",NULL,"no email"
524,"Lucero-Trevino","Iran",2018,"Think Tanks",6403,"0",NULL,"no email"
525,"Barnett-Randolph","Algeria",1998,"Automotive",7518,"0",NULL,"no email"
526,"Diaz, Mercer and Yoder","Dominican Republic",2013,"Medical Practice",4077,"0",NULL,"no email"
527,"Mcmahon and Sons","British Virgin Islands",1997,"Medical Practice",6029,"0",NULL,"no email"
528,"Wiley and Sons","Antigua and Barbuda",1994,"Transportation",6177,"0",NULL,"no email"
529,"Salazar-Hanson","Andorra",1988,"Biotechnology / Greentech",92,"0",NULL,"no email"
530,"Tanner-Webster","Chad",2006,"Pharmaceuticals",4176,"0",NULL,"no email"
531,"Parker, Cherry and Jimenez","Sierra Leone",2016,"Oil / Energy / Solar / Greentech",4261,"0",NULL,"no email"
532,"Briggs PLC","Swaziland",1991,"Wine / Spirits",5245,"0",NULL,"no email"
533,"Stephenson, Ashley and Chung","Suriname",1974,"Glass / Ceramics / Concrete",9716,"0",NULL,"no email"
534,"Salazar Ltd","Cuba",1999,"Information Services",2730,"0",NULL,"no email"
535,"Decker, Wang and Barajas","French Southern Territories",1981,"Commercial Real Estate",871,"0",NULL,"no email"
536,"Meza-Schneider","Monaco",2015,"Religious Institutions",4631,"0",NULL,"no email"
537,"Guzman LLC","Chad",1973,"Banking / Mortgage",2251,"0",NULL,"no email"
538,"Rollins-Meyer","Egypt",1996,"Biotechnology / Greentech",7454,"0",NULL,"no email"
539,"Copeland-Hobbs","Portugal",1991,"Computer / Network Security",2174,"0",NULL,"no email"
540,"Mcconnell-Sheppard","Cape Verde",1995,"Primary / Secondary Education",9808,"0",NULL,"no email"
541,"Zhang, Sosa and Ayala","Palestinian Territory",1987,"Military Industry",859,"0",NULL,"no email"
542,"Morris Ltd","Tonga",2000,"Outsourcing / Offshoring",1351,"0",NULL,"no email"
543,"Pierce, Gallegos and Knox","France",2016,"Fine Art",6016,"0",NULL,"no email"
544,"Daniels and Sons","Saint Vincent and the Grenadines",2014,"Defense / Space",4354,"0",NULL,"no email"
545,"Hickman, Valentine and Krause","Northern Mariana Islands",1992,"Furniture",56,"0",NULL,"no email"
546,"Horton LLC","Puerto Rico",1984,"Financial Services",9917,"0",NULL,"no email"
547,"Shah, Robbins and Nielsen","Grenada",2011,"Airlines / Aviation",4522,"0",NULL,"no email"
548,"Armstrong-Griffith","Kyrgyz Republic",2020,"Plastics",8509,"0",NULL,"no email"
549,"Gutierrez, Vasquez and Austin","Ecuador",2009,"Furniture",5052,"0",NULL,"no email"
550,"Sheppard, Gould and Boyd","Malawi",1971,"Legal Services",6877,"0",NULL,"no email"
551,"Harrison, Banks and Bradford","Liechtenstein",1976,"Events Services",2991,"0",NULL,"no email"
552,"Dunlap-Fritz","Indonesia",1990,"Textiles",8677,"0",NULL,"no email"
553,"George Ltd","Niger",2015,"Real Estate / Mortgage",7296,"0",NULL,"no email"
554,"Castaneda, Floyd and Mcdaniel","Nigeria",2011,"Airlines / Aviation",6844,"0",NULL,"no email"
555,"Roberson, Fuller and Oneill","United Kingdom",1988,"Government Administration",1501,"0",NULL,"no email"
556,"Stein, Gomez and Garrison","Saudi Arabia",1975,"Food / Beverages",8793,"0",NULL,"no email"
557,"Riddle-Griffith","Angola",1972,"Fishery",1213,"0",NULL,"no email"
558,"Snyder Group","Estonia",1998,"Commercial Real Estate",1363,"0",NULL,"no email"
559,"English Ltd","Marshall Islands",1970,"Recreational Facilities / Services",1820,"0",NULL,"no email"
560,"Ponce-Charles","Western Sahara",1987,"Government Relations",3598,"0",NULL,"no email"
561,"Solis-Cortez","Guinea-Bissau",1996,"Facilities Services",9069,"0",NULL,"no email"
562,"Dodson-Lam","Cyprus",1984,"Judiciary",9440,"0",NULL,"no email"
563,"Joyce, Chambers and Monroe","Congo",2004,"Animation",9684,"0",NULL,"no email"
564,"Kidd PLC","Sweden",1998,"Publishing Industry",434,"0",NULL,"no email"
565,"Brock Inc","Martinique",1973,"Fishery",8840,"0",NULL,"no email"
566,"Jarvis LLC","Tunisia",1992,"Renewables / Environment",9151,"0",NULL,"no email"
567,"Garrison and Sons","Puerto Rico",1998,"Package / Freight Delivery",8166,"0",NULL,"no email"
568,"Bird, Ferrell and Hughes","Bulgaria",2005,"Cosmetics",6336,"0",NULL,"no email"
569,"Barrett Inc","Greece",2015,"Furniture",2624,"0",NULL,"no email"
570,"Manning, Mcpherson and Robertson","France",1979,"Plastics",8644,"0",NULL,"no email"
571,"Dunn, Dillon and Blair","Belgium",2015,"Printing",5962,"0",NULL,"no email"
572,"Bright-Summers","Benin",2004,"Writing / Editing",5406,"0",NULL,"no email"
573,"Bradshaw-Navarro","Latvia",2003,"Management Consulting",3113,"0",NULL,"no email"
574,"Frost, Orr and Odonnell","Sierra Leone",1998,"Farming",1951,"0",NULL,"no email"
575,"Chase-Chandler","Namibia",1991,"Construction",117,"0",NULL,"no email"
576,"Pineda-Vaughan","United States of America",1981,"Sporting Goods",8635,"0",NULL,"no email"
577,"Gross-Holloway","Hong Kong",2020,"Plastics",8389,"0",NULL,"no email"
578,"Mueller Group","Albania",1972,"Graphic Design / Web Design",956,"0",NULL,"no email"
579,"Torres-Preston","Sweden",1991,"Warehousing",9540,"0",NULL,"no email"
580,"Horne, Hartman and Flowers","Lebanon",1970,"Internet",1312,"0",NULL,"no email"
581,"Franco-Valdez","Spain",2014,"Entertainment / Movie Production",5674,"0",NULL,"no email"
582,"Cantrell, Cervantes and Foster","Tanzania",2007,"Furniture",1915,"0",NULL,"no email"
583,"Estes, Poole and Henderson","Italy",1981,"Consumer Goods",5842,"0",NULL,"no email"
584,"Mccullough-Zavala","Kiribati",1993,"Plastics",8897,"0",NULL,"no email"
585,"Hess-Shelton","British Indian Ocean Territory (Chagos Archipelago)",2014,"Consumer Electronics",7188,"0",NULL,"no email"
586,"Ware LLC","Cuba",1998,"Real Estate / Mortgage",9941,"0",NULL,"no email"
587,"Hopkins-Shelton","Mayotte",2009,"Investment Banking / Venture",4109,"0",NULL,"no email"
588,"Mcknight Group","Guam",1980,"Performing Arts",2616,"0",NULL,"no email"
589,"Jackson-Mueller","Suriname",1982,"Financial Services",6715,"0",NULL,"no email"
590,"Skinner Inc","Germany",1982,"Mining / Metals",4738,"0",NULL,"no email"
591,"Humphrey PLC","Saint Lucia",2009,"Computer / Network Security",6285,"0",NULL,"no email"
592,"Bolton, Diaz and Kent","Bolivia",1999,"Information Services",1053,"0",NULL,"no email"
593,"Mason, Young and Evans","Poland",1980,"International Trade / Development",2586,"0",NULL,"no email"
594,"Harrell, Wagner and Snyder","Hungary",2018,"Education Management",7679,"0",NULL,"no email"
595,"Townsend-Welch","Solomon Islands",2018,"Religious Institutions",5547,"0",NULL,"no email"
596,"Case, Avery and Zuniga","Monaco",1991,"Entertainment / Movie Production",7671,"0",NULL,"no email"
597,"Mayo-Lane","United States Virgin Islands",1979,"Publishing Industry",361,"0",NULL,"no email"
598,"Cardenas-Huffman","Saint Lucia",1982,"Luxury Goods / Jewelry",6041,"0",NULL,"no email"
599,"Wallace-Hines","Hungary",2015,"Utilities",5573,"0",NULL,"no email"
