"id","name","country","founded","industry","no_of_employees"
405,"Jacobson Inc","Peru",2016,"Broadcast Media",451
406,"Sparks-Savage","Macao",1995,"Electrical / Electronic Manufacturing",9288
407,"Herring-Kline","Solomon Islands",2006,"Consumer Services",2983
408,"Garner-Hoover","Indonesia",1981,"Information Services",6405
409,"Schaefer Ltd","British Indian Ocean Territory (Chagos Archipelago)",1983,"Leisure / Travel",5199
410,"Peters, Booker and Ramirez","Korea",1976,"Newspapers / Journalism",4559
411,"Cantrell-Glover","Aruba",1970,"Facilities Services",313
412,"Trujillo-Copeland","Taiwan",2009,"Shipbuilding",2258
413,"Acosta LLC","Egypt",1987,"Maritime",2378
414,"Romero Ltd","Montserrat",2021,"Glass / Ceramics / Concrete",4366
415,"Esparza Inc","Isle of Man",1973,"Government Relations",9246
416,"Richard-Conway","Lao People's Democratic Republic",1988,"Fundraising",9510
417,"Santiago, Colon and Castaneda","Iraq",1972,"Other Industry",4864
418,"Holloway, Kaufman and Cross","United States Minor Outlying Islands",1976,"Arts / Crafts",9728
419,"Ward-Hull","Nigeria",1992,"Legislative Office",1820
420,"Gamble, Golden and Bauer","Yemen",2004,"Veterinary",123
421,"Small-Peters","Russian Federation",1970,"Computer Hardware",9212
422,"Zamora-Bryan","Seychelles",1997,"Food / Beverages",5592
423,"Fisher-Golden","Myanmar",2003,"Medical Practice",3274
424,"Ellis, Gutierrez and Bush","Papua New Guinea",2013,"Real Estate / Mortgage",4414
425,"Bray, Boyle and Morrison","Tunisia",1978,"Investment Banking / Venture",6353
426,"Osborn-Howard","Liberia",1999,"Newspapers / Journalism",1133
427,"Rollins, Hoffman and Bender","Niger",1992,"Library",5599
428,"Gallagher-Patel","Central African Republic",1984,"Computer / Network Security",9633
429,"Jarvis, Patrick and Farmer","Sri Lanka",1987,"Warehousing",7563
430,"Smith-Terrell","Cameroon",2003,"Mental Health Care",404
431,"Esparza, Lyons and Diaz","Botswana",1976,"Library",9231
432,"Nichols-Maynard","Martinique",1977,"Photography",779
433,"Mcintyre, Williams and Gray","Germany",2012,"Industrial Automation",6366
434,"Sexton Ltd","Tajikistan",1984,"Environmental Services",3590
435,"Wilson-Garrett","Denmark",1975,"Photography",3238
436,"Finley-Sloan","Bangladesh",2013,"Graphic Design / Web Design",5042
437,"Moon, Hendrix and Morton","Sao Tome and Principe",2009,"Fishery",2131
438,"Finley Ltd","Portugal",2000,"Recreational Facilities / Services",728
439,"Rojas-Castro","Saint Martin",1981,"Construction",8201
440,"Wang-Holloway","Germany",1992,"Computer Games",4447
441,"Collier-Howe","American Samoa",1972,"Education Management",1416
442,"Wilkins-Bright","Philippines",1979,"Restaurants",751
443,"Larson and Sons","Jersey",1970,"Real Estate / Mortgage",3786
444,"Davidson, Church and Sutton","Yemen",1984,"Maritime",9719
445,"Olsen, Oneal and Benton","Maldives",1983,"International Affairs",6078
446,"Lin-Weiss","Luxembourg",1976,"Cosmetics",2363
447,"Clements, Hahn and Stark","Cambodia",1975,"Hospitality",7663
448,"Huang-Ochoa","Guadeloupe",2008,"Apparel / Fashion",6839
449,"Garza-Obrien","Nepal",2014,"Machinery",1137
450,"Lin, Rasmussen and Graves","Bahrain",1997,"Business Supplies / Equipment",6903
451,"Huerta PLC","Gambia",1970,"Dairy",4337
452,"Lawson Ltd","Mauritius",1985,"Machinery",4988
453,"Bond, Snyder and Dixon","Saint Pierre and Miquelon",2018,"Individual / Family Services",9271
454,"Galvan, Clarke and Murray","Eritrea",2005,"Performing Arts",8788
455,"Jordan, Duffy and Guzman","Italy",1974,"Hospital / Health Care",5201
456,"Morrison-Ramos","Korea",1988,"Consumer Services",1587
457,"Good-Macias","Nigeria",2014,"Dairy",3744
458,"Wade, Walls and Maynard","Uruguay",1997,"Alternative Medicine",317
459,"Sexton-Meza","Tonga",2021,"Automotive",4820
460,"Singh-Bartlett","Slovenia",1988,"Wireless",866
461,"Roth and Sons","Angola",1994,"Computer Hardware",311
462,"Velazquez, Brewer and Mahoney","Haiti",2004,"Performing Arts",3884
463,"Tucker, Hartman and Mathews","Oman",1982,"Restaurants",9088
464,"Patrick LLC","United States of America",1997,"Facilities Services",7948
465,"Hubbard-Clements","Slovenia",2015,"Warehousing",1787
466,"Bradford, Joyce and Pennington","Niger",2010,"Law Practice / Law Firms",4823
467,"Marquez-Blankenship","American Samoa",1989,"Warehousing",8562
468,"Aguirre, Hicks and Garrison","Nepal",1990,"Library",4851
469,"Daniel, Mcintosh and Dickson","Netherlands",2002,"Library",1201
470,"Frost, Hebert and Rojas","Sao Tome and Principe",2008,"Plastics",2521
471,"Bradford and Sons","Suriname",2010,"Veterinary",622
472,"Boyd LLC","American Samoa",1975,"Luxury Goods / Jewelry",159
473,"Cooke-Mcgee","Germany",2014,"Music",3064
474,"Mcconnell-Schroeder","Ecuador",2009,"Primary / Secondary Education",4884
475,"Sampson-Copeland","Bouvet Island (Bouvetoya)",2015,"Marketing / Advertising / Sales",3811
476,"Livingston Ltd","Korea",1994,"Hospitality",5395
477,"Barnett, Ho and Shah","Belgium",1983,"Information Services",5971
478,"Wise-Valenzuela","Guadeloupe",1991,"Chemicals",3269
479,"Shields LLC","Saudi Arabia",2005,"Sports",1547
480,"Pennington, Hooper and Perkins","Saint Barthelemy",1984,"Dairy",8560
481,"Estrada-Leon","Cocos (Keeling) Islands",1984,"Events Services",4218
482,"Beard PLC","France",1974,"Facilities Services",2987
483,"Bates PLC","New Zealand",1984,"Religious Institutions",674
484,"Macdonald-Villegas","Nicaragua",2010,"Animation",8501
485,"Mata, Benjamin and Sanchez","Western Sahara",1986,"Business Supplies / Equipment",2814
486,"Rice, Norton and Stein","Cook Islands",2007,"Transportation",6307
487,"Mahoney-Lowe","Wallis and Futuna",2006,"Logistics / Procurement",5763
488,"Simmons Group","Sweden",1985,"Entertainment / Movie Production",3416
489,"Holt, Morris and Delgado","Argentina",1999,"Translation / Localization",7672
490,"Yates, Best and Zuniga","Trinidad and Tobago",2001,"Food Production",1009
491,"Byrd LLC","Palau",1981,"Mental Health Care",6537
492,"Barber LLC","Antarctica (the territory South of 60 deg S)",1998,"Insurance",1021
493,"Potter-Solis","Kenya",1993,"Entertainment / Movie Production",4209
494,"Ramos-Kemp","Montserrat",1979,"Ranching",699
495,"Cisneros-Parks","Pakistan",1992,"Printing",7884
496,"Jenkins Inc","Zimbabwe",2019,"Renewables / Environment",1864
497,"Cummings, Woodard and Wiley","Western Sahara",2006,"Wine / Spirits",7436
498,"Holloway-Ali","Russian Federation",2001,"Library",648
499,"Mclaughlin LLC","Estonia",1975,"Ranching",5650
500,"Macias-Chung","Palau",1985,"Motion Pictures / Film",8958
501,"Ramos Ltd","Gambia",2018,"Computer / Network Security",9088
502,"Weaver-Barnett","Belarus",1991,"Business Supplies / Equipment",8600
503,"Macdonald PLC","Rwanda",1971,"Gambling / Casinos",9950
504,"Coffey-Hooper","Eritrea",2007,"Pharmaceuticals",2660
505,"Ayers-Hernandez","India",1992,"Higher Education / Acadamia",5982
506,"Cline-Heath","Chad",2020,"Computer Networking",6977
507,"Rivera, Russo and Romero","Nicaragua",1993,"Package / Freight Delivery",8848
508,"Hardy, Ellis and Hopkins","Moldova",2009,"Library",4990
509,"Gray and Sons","China",1980,"Packaging / Containers",8303
510,"Hogan-Rodgers","Marshall Islands",1970,"Glass / Ceramics / Concrete",5029
511,"Baxter-Morgan","Saudi Arabia",2005,"Paper / Forest Products",545
512,"Frederick-Singh","Chile",1971,"Fine Art",5687
513,"Harvey, Pennington and Richard","Hungary",2016,"Computer Hardware",3894
514,"Arroyo, Garcia and Patterson","Denmark",2020,"Wireless",9235
515,"Lynch Ltd","Northern Mariana Islands",1983,"Outsourcing / Offshoring",2369
516,"Rios-Walsh","Thailand",1973,"Renewables / Environment",3747
517,"Sanford Inc","Sao Tome and Principe",1997,"Professional Training",5994
518,"Vasquez-Ochoa","Cuba",1983,"Packaging / Containers",4878
519,"Bean, Hudson and Velasquez","Saint Barthelemy",2001,"Writing / Editing",7395
520,"Drake PLC","Mali",2009,"Warehousing",4793
521,"Weeks-Joseph","United Kingdom",1970,"Mining / Metals",4528
522,"Villegas-Liu","Malaysia",1991,"Mental Health Care",9517
523,"Daniels, Whitney and Valenzuela","Russian Federation",1988,"Human Resources / HR",6869
524,"Lucero-Trevino","Iran",2018,"Think Tanks",6403
525,"Barnett-Randolph","Algeria",1998,"Automotive",7518
526,"Diaz, Mercer and Yoder","Dominican Republic",2013,"Medical Practice",4077
527,"Mcmahon and Sons","British Virgin Islands",1997,"Medical Practice",6029
528,"Wiley and Sons","Antigua and Barbuda",1994,"Transportation",6177
529,"Salazar-Hanson","Andorra",1988,"Biotechnology / Greentech",92
530,"Tanner-Webster","Chad",2006,"Pharmaceuticals",4176
531,"Parker, Cherry and Jimenez","Sierra Leone",2016,"Oil / Energy / Solar / Greentech",4261
532,"Briggs PLC","Swaziland",1991,"Wine / Spirits",5245
533,"Stephenson, Ashley and Chung","Suriname",1974,"Glass / Ceramics / Concrete",9716
534,"Salazar Ltd","Cuba",1999,"Information Services",2730
535,"Decker, Wang and Barajas","French Southern Territories",1981,"Commercial Real Estate",871
536,"Meza-Schneider","Monaco",2015,"Religious Institutions",4631
537,"Guzman LLC","Chad",1973,"Banking / Mortgage",2251
538,"Rollins-Meyer","Egypt",1996,"Biotechnology / Greentech",7454
539,"Copeland-Hobbs","Portugal",1991,"Computer / Network Security",2174
540,"Mcconnell-Sheppard","Cape Verde",1995,"Primary / Secondary Education",9808
541,"Zhang, Sosa and Ayala","Palestinian Territory",1987,"Military Industry",859
542,"Morris Ltd","Tonga",2000,"Outsourcing / Offshoring",1351
543,"Pierce, Gallegos and Knox","France",2016,"Fine Art",6016
544,"Daniels and Sons","Saint Vincent and the Grenadines",2014,"Defense / Space",4354
545,"Hickman, Valentine and Krause","Northern Mariana Islands",1992,"Furniture",56
546,"Horton LLC","Puerto Rico",1984,"Financial Services",9917
547,"Shah, Robbins and Nielsen","Grenada",2011,"Airlines / Aviation",4522
548,"Armstrong-Griffith","Kyrgyz Republic",2020,"Plastics",8509
549,"Gutierrez, Vasquez and Austin","Ecuador",2009,"Furniture",5052
550,"Sheppard, Gould and Boyd","Malawi",1971,"Legal Services",6877
551,"Harrison, Banks and Bradford","Liechtenstein",1976,"Events Services",2991
552,"Dunlap-Fritz","Indonesia",1990,"Textiles",8677
553,"George Ltd","Niger",2015,"Real Estate / Mortgage",7296
554,"Castaneda, Floyd and Mcdaniel","Nigeria",2011,"Airlines / Aviation",6844
555,"Roberson, Fuller and Oneill","United Kingdom",1988,"Government Administration",1501
556,"Stein, Gomez and Garrison","Saudi Arabia",1975,"Food / Beverages",8793
557,"Riddle-Griffith","Angola",1972,"Fishery",1213
558,"Snyder Group","Estonia",1998,"Commercial Real Estate",1363
559,"English Ltd","Marshall Islands",1970,"Recreational Facilities / Services",1820
560,"Ponce-Charles","Western Sahara",1987,"Government Relations",3598
561,"Solis-Cortez","Guinea-Bissau",1996,"Facilities Services",9069
562,"Dodson-Lam","Cyprus",1984,"Judiciary",9440
563,"Joyce, Chambers and Monroe","Congo",2004,"Animation",9684
564,"Kidd PLC","Sweden",1998,"Publishing Industry",434
565,"Brock Inc","Martinique",1973,"Fishery",8840
566,"Jarvis LLC","Tunisia",1992,"Renewables / Environment",9151
567,"Garrison and Sons","Puerto Rico",1998,"Package / Freight Delivery",8166
568,"Bird, Ferrell and Hughes","Bulgaria",2005,"Cosmetics",6336
569,"Barrett Inc","Greece",2015,"Furniture",2624
570,"Manning, Mcpherson and Robertson","France",1979,"Plastics",8644
571,"Dunn, Dillon and Blair","Belgium",2015,"Printing",5962
572,"Bright-Summers","Benin",2004,"Writing / Editing",5406
573,"Bradshaw-Navarro","Latvia",2003,"Management Consulting",3113
574,"Frost, Orr and Odonnell","Sierra Leone",1998,"Farming",1951
575,"Chase-Chandler","Namibia",1991,"Construction",117
576,"Pineda-Vaughan","United States of America",1981,"Sporting Goods",8635
577,"Gross-Holloway","Hong Kong",2020,"Plastics",8389
578,"Mueller Group","Albania",1972,"Graphic Design / Web Design",956
579,"Torres-Preston","Sweden",1991,"Warehousing",9540
580,"Horne, Hartman and Flowers","Lebanon",1970,"Internet",1312
581,"Franco-Valdez","Spain",2014,"Entertainment / Movie Production",5674
582,"Cantrell, Cervantes and Foster","Tanzania",2007,"Furniture",1915
583,"Estes, Poole and Henderson","Italy",1981,"Consumer Goods",5842
584,"Mccullough-Zavala","Kiribati",1993,"Plastics",8897
585,"Hess-Shelton","British Indian Ocean Territory (Chagos Archipelago)",2014,"Consumer Electronics",7188
586,"Ware LLC","Cuba",1998,"Real Estate / Mortgage",9941
587,"Hopkins-Shelton","Mayotte",2009,"Investment Banking / Venture",4109
588,"Mcknight Group","Guam",1980,"Performing Arts",2616
589,"Jackson-Mueller","Suriname",1982,"Financial Services",6715
590,"Skinner Inc","Germany",1982,"Mining / Metals",4738
591,"Humphrey PLC","Saint Lucia",2009,"Computer / Network Security",6285
592,"Bolton, Diaz and Kent","Bolivia",1999,"Information Services",1053
593,"Mason, Young and Evans","Poland",1980,"International Trade / Development",2586
594,"Harrell, Wagner and Snyder","Hungary",2018,"Education Management",7679
595,"Townsend-Welch","Solomon Islands",2018,"Religious Institutions",5547
596,"Case, Avery and Zuniga","Monaco",1991,"Entertainment / Movie Production",7671
597,"Mayo-Lane","United States Virgin Islands",1979,"Publishing Industry",361
598,"Cardenas-Huffman","Saint Lucia",1982,"Luxury Goods / Jewelry",6041
599,"Wallace-Hines","Hungary",2015,"Utilities",5573
600,"Roach-Oneal","Montenegro",2008,"Apparel / Fashion",2854
601,"Parrish-Avila","Rwanda",1996,"Railroad Manufacture",4626
602,"Mckee Inc","Tanzania",1981,"Package / Freight Delivery",7878
603,"Hahn, Cobb and Cline","Pitcairn Islands",2014,"Judiciary",6646
604,"Haas, Oliver and Osborn","Mauritius",1987,"Import / Export",6789
605,"Gaines, Gomez and Madden","Israel",2008,"Oil / Energy / Solar / Greentech",1132
606,"Blair LLC","Libyan Arab Jamahiriya",2006,"Market Research",989
607,"Gordon and Sons","Bulgaria",1970,"Cosmetics",4815
608,"Cohen, Saunders and Curtis","Albania",1972,"Other Industry",1999
609,"Castro-Hill","Korea",1992,"Alternative Medicine",4155
610,"Roman Ltd","Mauritius",2019,"Transportation",1888
611,"Donovan-Christian","Denmark",1972,"Broadcast Media",4544
612,"Jacobson-Wang","Gibraltar",1972,"Alternative Medicine",68
613,"Garcia Group","Congo",1983,"Real Estate / Mortgage",818
614,"Everett-Duke","Romania",1999,"Package / Freight Delivery",9578
615,"Matthews, Gilbert and Richardson","United Kingdom",1981,"Graphic Design / Web Design",2273
616,"Pena Inc","Poland",1990,"International Affairs",2178
617,"Simon-Cabrera","Papua New Guinea",2008,"Design",5425
618,"Duran, Conrad and Potts","Sri Lanka",2009,"Import / Export",8838
619,"Bartlett and Sons","Macao",2020,"Aviation / Aerospace",7529
620,"Soto-Perry","Antigua and Barbuda",1992,"Professional Training",7286
621,"Espinoza, Beasley and Jefferson","Togo",2013,"Computer / Network Security",5315
622,"Duncan Inc","Lithuania",2020,"Photography",131
623,"Harris-Clarke","Botswana",2016,"Publishing Industry",6150
624,"Wiley-Mcdaniel","Korea",1993,"Furniture",7175
625,"Powell Group","Kenya",2013,"Chemicals",5802
626,"Chase Inc","Saint Martin",2016,"Financial Services",505
627,"Livingston LLC","Gibraltar",1973,"Machinery",4606
628,"King-Howard","Barbados",1977,"Education Management",321
629,"Park, Gross and Kirk","San Marino",1973,"Aviation / Aerospace",1561
630,"Porter, Schaefer and Fields","Kazakhstan",2005,"Graphic Design / Web Design",6742
631,"Meadows-Macias","Costa Rica",2006,"Transportation",904
632,"Petty Group","Bouvet Island (Bouvetoya)",1985,"Marketing / Advertising / Sales",8830
633,"Griffith-Reyes","Tokelau",1984,"E - Learning",1020
634,"Mcclain, Tucker and Mills","Guyana",2020,"Museums / Institutions",7429
635,"Hardin-Mcdowell","Sri Lanka",1994,"Motion Pictures / Film",386
636,"Brennan LLC","Ghana",1996,"Performing Arts",2037
637,"Liu Inc","Holy See (Vatican City State)",1986,"Automotive",1905
638,"Archer Ltd","Faroe Islands",1988,"Electrical / Electronic Manufacturing",4319
639,"Christian-Lynch","Nicaragua",1989,"Wholesale",2252
640,"Roth Inc","New Zealand",1997,"Telecommunications",4427
641,"Webb, Curtis and Massey","Micronesia",1999,"Recreational Facilities / Services",5722
642,"Coffey, Ali and Glover","Niger",2002,"Legal Services",3362
643,"Vaughn LLC","Botswana",1999,"Food / Beverages",9751
644,"Leon, Kaufman and Richmond","American Samoa",1983,"Printing",3321
645,"Byrd, Pace and Robles","Belgium",1974,"Research Industry",3081
646,"Gregory LLC","United States of America",1979,"Textiles",1682
647,"Novak-Gates","Svalbard & Jan Mayen Islands",1980,"Translation / Localization",36
648,"Beck-Vaughan","Cook Islands",2020,"Publishing Industry",5082
649,"Wilkerson, Luna and Brewer","Cyprus",2009,"Railroad Manufacture",3822
650,"Murphy-Esparza","Bolivia",2012,"Venture Capital / VC",6030
651,"Miles Inc","Angola",1999,"Dairy",3250
652,"Griffin-Mahoney","United States Virgin Islands",1991,"Mining / Metals",7637
653,"Parker, Garza and Mcintosh","American Samoa",1972,"Glass / Ceramics / Concrete",7720
654,"Mclean-Boyle","Niger",2017,"Recreational Facilities / Services",8935
655,"Bradley PLC","Eritrea",2004,"Packaging / Containers",9343
656,"Lowe-Harper","Western Sahara",1975,"Aviation / Aerospace",4331
657,"Riley-Hodge","Egypt",2000,"Translation / Localization",9307
658,"Anderson, Swanson and Cummings","Lithuania",2002,"Wholesale",6596
659,"Anderson, Snyder and Finley","Thailand",2016,"Sporting Goods",8193
660,"Ross and Sons","Peru",1992,"Medical Equipment",5685
661,"Neal, Maxwell and Moore","Haiti",2006,"Business Supplies / Equipment",8738
662,"Yates, Massey and Ortiz","Christmas Island",1995,"Computer Hardware",6330
663,"Sparks and Sons","Moldova",1983,"Staffing / Recruiting",6733
664,"Curry, Villa and Bauer","Wallis and Futuna",1970,"Motion Pictures / Film",6953
665,"Mcconnell-Ballard","Somalia",1984,"Ranching",6843
666,"Rowe-Horton","Argentina",2007,"Renewables / Environment",5422
667,"Harmon-Arellano","Slovenia",1993,"Sports",5411
668,"Lawrence-Vaughan","Slovenia",1998,"Ranching",2999
669,"Parsons, Bradshaw and Waller","French Southern Territories",2021,"Philanthropy",275
670,"Phillips, Gomez and Rocha","Bangladesh",1981,"Telecommunications",5299
671,"Ochoa, Hodges and Jacobson","India",2003,"Alternative Dispute Resolution",8891
672,"Pham, Owens and Frost","Yemen",2007,"Automotive",9158
673,"Young Inc","Ukraine",2007,"Maritime",5033
674,"Caldwell-Burns","Sierra Leone",1988,"Government Relations",3651
675,"Hampton-Sheppard","Montserrat",2017,"Leisure / Travel",4005
676,"Norman, Christian and Johnston","Kyrgyz Republic",2000,"Graphic Design / Web Design",2685
677,"Hobbs Group","Brunei Darussalam",1999,"Logistics / Procurement",1145
678,"Hanson, Newman and Bradley","Algeria",2021,"Individual / Family Services",2135
679,"Winters-Mayo","Morocco",1971,"Computer Networking",6429
680,"Morrison-Cooley","Qatar",2018,"Maritime",6425
681,"Daugherty LLC","Taiwan",2012,"Wholesale",1344
682,"Dean LLC","Mauritania",2019,"Library",5297
683,"Herrera Ltd","Colombia",1987,"Military Industry",4066
684,"Hartman Ltd","Nigeria",1996,"Supermarkets",404
685,"Robles-Kane","Taiwan",2009,"Mental Health Care",5835
686,"Williamson, Howe and Mckenzie","Wallis and Futuna",2007,"Ranching",9419
687,"Carlson, Vargas and Carroll","Georgia",2018,"Ranching",9503
688,"Hardy Ltd","Saint Vincent and the Grenadines",2009,"Executive Office",7638
689,"Mcdaniel Inc","Sao Tome and Principe",1989,"Primary / Secondary Education",4900
690,"Ortiz, Robbins and Burch","Namibia",1991,"Transportation",9661
691,"Preston Inc","Northern Mariana Islands",2015,"Mental Health Care",7936
692,"Hunt LLC","Congo",1972,"Religious Institutions",6176
693,"Turner-Brennan","Guyana",1972,"Packaging / Containers",1852
694,"Walker-Marshall","Niue",2017,"Business Supplies / Equipment",8537
695,"Bolton-Odom","Botswana",1979,"Utilities",7241
696,"Jackson Group","Austria",1984,"E - Learning",8940
697,"Key Inc","United States Virgin Islands",1974,"Alternative Dispute Resolution",3195
698,"Warner LLC","Malawi",1987,"Glass / Ceramics / Concrete",2567
699,"Evans-Hardin","Luxembourg",2002,"Investment Management / Hedge Fund / Private Equity",5866
700,"Meza-Carroll","Azerbaijan",1975,"Packaging / Containers",8073
701,"Ferguson, Frost and Estrada","Sierra Leone",2001,"Dairy",7383
702,"Villa, Levy and Mays","Barbados",1976,"Packaging / Containers",4619
703,"Chan-Coffey","Suriname",1986,"Civic / Social Organization",1818
704,"Hopkins, Shea and Bishop","Bouvet Island (Bouvetoya)",2014,"Venture Capital / VC",1878
705,"Blackwell-Carson","Japan",1974,"Oil / Energy / Solar / Greentech",3389
706,"Huerta, Macdonald and Olson","Heard Island and McDonald Islands",2001,"Primary / Secondary Education",6932
707,"Harmon-Dillon","Niger",1975,"Military Industry",9188
708,"Bradshaw-Orozco","Burundi",1973,"Information Technology / IT",3619
709,"Clay-Bentley","Madagascar",1999,"Venture Capital / VC",734
710,"Ayala-Bradshaw","Central African Republic",2000,"Library",5977
711,"Stevens, Nguyen and Williams","Turkey",1996,"Telecommunications",2567
712,"Hebert, Willis and Bates","Namibia",1993,"Mining / Metals",8012
713,"Lowery, Campbell and Cardenas","Sri Lanka",1999,"Library",4494
714,"Pruitt-Levy","Zambia",1998,"Wholesale",5827
715,"Neal-Nicholson","Central African Republic",2006,"Wine / Spirits",5523
716,"Lopez-Taylor","Bahrain",1973,"Import / Export",4813
717,"Nelson PLC","Zimbabwe",2000,"Maritime",511
718,"Koch, Stephenson and Wilcox","Portugal",2016,"Biotechnology / Greentech",3930
719,"Kim, Santana and Coleman","Libyan Arab Jamahiriya",2007,"Arts / Crafts",3192
720,"Middleton PLC","Benin",1994,"Medical Practice",6412
721,"Tanner-Hanna","Indonesia",2020,"Alternative Dispute Resolution",5429
722,"Simmons-Farmer","Togo",2007,"Higher Education / Acadamia",8162
723,"Salas-Zamora","Mali",2019,"Facilities Services",8973
724,"Finley, Gibson and Stanton","Solomon Islands",2015,"Music",4490
725,"House, Luna and Obrien","Saint Helena",1971,"Tobacco",7071
726,"Henderson, Garrison and Melendez","Cocos (Keeling) Islands",2014,"Publishing Industry",9686
727,"Oconnell-Leonard","Malta",1998,"Program Development",6499
728,"Brady and Sons","Mauritius",2016,"Shipbuilding",5711
729,"Huber, Ferrell and Eaton","New Caledonia",2004,"Events Services",4978
730,"Jensen Group","Peru",2013,"Consumer Services",569
731,"Blevins, Compton and Peck","Korea",1996,"Public Relations / PR",9178
732,"Mann-Hobbs","Sri Lanka",1995,"Packaging / Containers",7171
733,"Shaw, Yang and Morton","Cuba",1985,"Gambling / Casinos",8841
734,"Hale-Hurley","New Caledonia",1998,"Fundraising",1151
735,"Davis-Mclean","Ethiopia",1995,"Security / Investigations",3427
736,"Pena, Davies and Perry","Uruguay",2018,"Mechanical or Industrial Engineering",5067
737,"Glover-Castaneda","Aruba",1990,"Research Industry",6515
738,"Conner-Murphy","Nicaragua",2021,"Shipbuilding",3921
739,"Graves LLC","Cambodia",2013,"Plastics",7150
740,"Guerra, Drake and Rangel","Cambodia",2005,"Warehousing",305
741,"Ford PLC","Lithuania",1989,"Think Tanks",3691
742,"Giles, Ingram and Figueroa","Kyrgyz Republic",1976,"Railroad Manufacture",9719
743,"Simpson, Macdonald and Key","Jordan",1998,"Import / Export",3289
744,"Martinez-Boone","Ecuador",2004,"International Affairs",6346
745,"Wilkins LLC","Bouvet Island (Bouvetoya)",1990,"Sporting Goods",7349
746,"Brooks-Riggs","Tunisia",1982,"Maritime",1912
747,"Fields-Townsend","Ethiopia",1994,"Food Production",4635
748,"Howard-Patton","Slovenia",1994,"Legislative Office",1808
749,"Park-Gomez","Georgia",1998,"Luxury Goods / Jewelry",8228
750,"Huerta-Stephens","Central African Republic",1994,"Industrial Automation",2090
751,"Holmes Ltd","Taiwan",1989,"Telecommunications",7901
752,"Vazquez, Mendez and Morris","United Arab Emirates",1981,"Fundraising",6978
753,"Choi-Briggs","Saint Kitts and Nevis",2010,"Computer Software / Engineering",1377
754,"Page-Mcmahon","Burkina Faso",1995,"Warehousing",3958
755,"Mcdonald, Williamson and Reese","Maldives",1972,"Other Industry",9501
756,"Adkins, Sloan and Burton","Montenegro",1999,"Computer / Network Security",2431
757,"Boyle-Beard","Cyprus",1985,"Political Organization",9283
758,"Flynn, Taylor and Herman","Guyana",1981,"Luxury Goods / Jewelry",5050
759,"Hurst, Camacho and Gill","China",1981,"Venture Capital / VC",802
760,"Richards-Zimmerman","Fiji",2018,"Public Safety",8249
761,"Prince Ltd","Switzerland",1971,"Hospitality",8500
762,"Beltran Group","Grenada",1997,"Program Development",7613
763,"Camacho Ltd","Isle of Man",1982,"Chemicals",8710
764,"Wall-Mcconnell","Central African Republic",2006,"Building Materials",4491
765,"Vazquez LLC","Faroe Islands",1979,"Oil / Energy / Solar / Greentech",3136
766,"Powers-Francis","Guatemala",1988,"Marketing / Advertising / Sales",8184
767,"Mullins, Bird and Kirk","United Kingdom",1993,"Oil / Energy / Solar / Greentech",4804
768,"Romero, Austin and Gentry","Brunei Darussalam",1990,"Railroad Manufacture",8213
769,"Santos-Howard","Montenegro",2003,"Machinery",4475
770,"Beck, James and Soto","Portugal",1992,"Fishery",8712
771,"King-Weaver","Sri Lanka",2019,"Alternative Dispute Resolution",1888
772,"Gray, Khan and Poole","Saint Kitts and Nevis",2007,"Financial Services",2913
773,"Ochoa-Mason","Antarctica (the territory South of 60 deg S)",2011,"Biotechnology / Greentech",7205
774,"Medina-Wells","Andorra",1986,"Online Publishing",8575
775,"Hood Ltd","Norway",2009,"Plastics",7370
776,"Briggs-Delacruz","Georgia",2006,"Glass / Ceramics / Concrete",3098
777,"Mitchell-Ponce","Trinidad and Tobago",2005,"Media Production",4260
778,"Guzman PLC","Antarctica (the territory South of 60 deg S)",1987,"Judiciary",481
779,"Rosales Inc","Lebanon",1986,"Staffing / Recruiting",4470
780,"Ibarra-Klein","United States Minor Outlying Islands",1985,"Oil / Energy / Solar / Greentech",8107
781,"Bentley, Blake and Mclean","Libyan Arab Jamahiriya",1971,"Chemicals",3254
782,"Richmond-Conley","Bolivia",1997,"Political Organization",6412
783,"Wilkinson, Pope and Roach","Jamaica",2009,"Fine Art",5959
784,"Macias-Patton","Brazil",1990,"Wholesale",6403
785,"Oliver, Flores and Pena","Austria",1994,"Medical Equipment",2587
786,"Malone and Sons","Fiji",2013,"Program Development",4587
787,"Mcknight-Brewer","South Georgia and the South Sandwich Islands",2012,"Health / Fitness",604
788,"Tapia, Bush and Brandt","Liberia",1976,"Banking / Mortgage",3378
789,"Wood, Stark and Jacobson","Congo",2006,"Telecommunications",8056
790,"Cole, Wu and Cameron","Yemen",1992,"Environmental Services",2491
791,"Carney-Heath","Macao",2019,"Publishing Industry",5563
792,"Joseph-Stein","French Southern Territories",1990,"Defense / Space",7825
793,"Kent-Nolan","Indonesia",2007,"Oil / Energy / Solar / Greentech",7161
794,"Reed Group","Angola",1976,"International Affairs",4531
795,"Willis, Davenport and Mueller","Philippines",2002,"Chemicals",2443
796,"Meza, Morales and Booker","Slovenia",2014,"Mining / Metals",6662
797,"Valentine and Sons","Swaziland",1986,"Legislative Office",2835
798,"Dennis-Bridges","Antarctica (the territory South of 60 deg S)",1991,"Translation / Localization",648
799,"Atkinson, Good and Burns","Western Sahara",2005,"Shipbuilding",1066
800,"Price and Sons","Iceland",1989,"Consumer Services",599
